depth10cm,Year,Yearly Avg Soil Temp (10CM),Yearly Avg Soil Temp (F) 10CM,Month/Year,Monthly Avg Soil Temp (10CM)
15.4,,,,6/2011,
14.4,,,,6/2011,
14.5,,,,6/2011,
19.7,,,,7/2011,
18.4,,,,7/2011,
20.1,,,,7/2011,
21.9,,,,8/2011,
15.3,,,,8/2011,
20.1,,,,8/2011,
18.4,,,,8/2011,
17.1,,,,8/2011,
14,,,,9/2011,
13.2,,,,9/2011,
10.7,,,,9/2011,
9.3,,,,9/2011,
10.9,,,,10/2011,
11.5,,,,10/2011,
8.4,,,,10/2011,
5.7,,,,10/2011,
4.3,,,,11/2011,
2.8,,,,11/2011,
1.6,,,,11/2011,
0.8,,,,11/2011,
0.7,,,,11/2011,
0.2,,,,12/2011,
-1.2,,,,12/2011,
-1.4,,,,12/2011,
-1.9,,,,12/2011,
-1.2,,,,1/2012,
-0.4,,,,1/2012,
-2.2,,,,1/2012,
-1.2,,,,1/2012,
-0.3,,,,2/2012,
-2.1,,,,2/2012,
-1,,,,2/2012,
-0.2,,,,2/2012,
-1.2,,,,2/2012,
-0.8,,,,3/2012,
-0.2,,,,3/2012,
-0.2,,,,3/2012,
-0.6,,,,3/2012,
0.1,,,,4/2012,
0.3,,,,4/2012,
0,,,,4/2012,
1.4,,,,4/2012,
6.9,,,,5/2012,
8.1,,,,5/2012,
8.3,,,,5/2012,
12.5,,,,5/2012,
12.1,,,,5/2012,
15.8,,,,6/2012,
14.6,,,,6/2012,
15.8,,,,6/2012,
17.7,,,,6/2012,
19.2,,,,7/2012,
17.6,,,,7/2012,
19.4,,,,7/2012,
18.4,,,,7/2012,
18.2,,,,7/2012,
17.2,,,,8/2012,
15,,,,8/2012,
14.2,,,,8/2012,
14.8,,,,8/2012,
14.9,,,,9/2012,
13.7,,,,9/2012,
9.8,,,,9/2012,
7.8,,,,9/2012,
7.2,,,,10/2012,
5.4,,,,10/2012,
7.4,,,,10/2012,
8.4,,,,10/2012,
2.6,,,,10/2012,
2.5,,,,11/2012,
2.3,,,,11/2012,
1.7,,,,11/2012,
0.9,,,,11/2012,
0.3,,,,12/2012,
-1.8,,,,12/2012,
-0.6,,,,12/2012,
-1.4,,,,12/2012,
-0.7,,,,1/2013,
-1.3,,,,1/2013,
-2.4,,,,1/2013,
-2.9,,,,1/2013,
-2.2,,,,1/2013,
-1.7,,,,2/2013,
-1,,,,2/2013,
-1.5,,,,2/2013,
-0.4,,,,2/2013,
-1.2,,,,3/2013,
-0.9,,,,3/2013,
-1.4,,,,3/2013,
-0.3,,,,3/2013,
-0.4,,,,4/2013,
-0.5,,,,4/2013,
-0.5,,,,4/2013,
-0.4,,,,4/2013,
-0.2,,,,5/2013,
1,,,,5/2013,
7.8,,,,5/2013,
9.1,,,,5/2013,
13.4,,,,5/2013,
11.4,,,,6/2013,
13.6,,,,6/2013,
14,,,,6/2013,
17.9,,,,6/2013,
16.4,,,,7/2013,
17.3,,,,7/2013,
18.9,,,,7/2013,
17.1,,,,7/2013,
15.1,,,,7/2013,
14.3,,,,8/2013,
13.1,,,,8/2013,
17,,,,8/2013,
16.8,,,,8/2013,
15.2,,,,9/2013,
14.9,,,,9/2013,
12.8,,,,9/2013,
11.4,,,,9/2013,
11,,,,10/2013,
10,,,,10/2013,
8.2,,,,10/2013,
6.2,,,,10/2013,
5.4,,,,10/2013,
4.3,,,,11/2013,
3.1,,,,11/2013,
3.2,,,,11/2013,
1,,,,11/2013,
1.5,,,,12/2013,
0.1,,,,12/2013,
0.3,,,,12/2013,
1.3,,,,12/2013,
-1.3,,,,12/2013,
0,,,,1/2014,
-0.3,,,,1/2014,
-2,,,,1/2014,
-1.3,,,,1/2014,
-1.7,,,,2/2014,
-1.5,,,,2/2014,
-0.8,,,,2/2014,
-1.7,,,,2/2014,
-1.2,,,,3/2014,
-1.1,,,,3/2014,
-0.9,,,,3/2014,
-1,,,,3/2014,
0,,,,4/2014,
0.4,,,,4/2014,
0,,,,4/2014,
-0.1,,,,4/2014,
2.2,,,,5/2014,
4.3,,,,5/2014,
7.7,,,,5/2014,
10.3,,,,5/2014,
14.1,,,,5/2014,
15,,,,6/2014,
15.2,,,,6/2014,
16.3,,,,6/2014,
17.4,,,,6/2014,
17.6,,,,7/2014,
18.1,,,,7/2014,
16.8,,,,7/2014,
19.9,,,,7/2014,
17.7,,,,7/2014,
16.2,,,,8/2014,
16,,,,8/2014,
16.2,,,,8/2014,
15.8,,,,8/2014,
15.6,,,,9/2014,
13.9,,,,9/2014,
10.4,,,,9/2014,
11.3,,,,9/2014,
11.6,,,,10/2014,
9.1,,,,10/2014,
8.1,,,,10/2014,
7.7,,,,10/2014,
7.4,,,,10/2014,
5.6,,,,11/2014,
5.1,,,,11/2014,
3.6,,,,11/2014,
2.5,,,,11/2014,
0.6,,,,12/2014,
0.3,,,,12/2014,
0,,,,12/2014,
0.7,,,,12/2014,
-0.8,,,,12/2014,
-1.6,,,,1/2015,
-0.2,,,,1/2015,
-1.1,,,,1/2015,
-0.1,,,,1/2015,
-1.8,,,,2/2015,
0.2,,,,2/2015,
-2.6,,,,2/2015,
-1.7,,,,2/2015,
-2.3,,,,3/2015,
-0.5,,,,3/2015,
-0.6,,,,3/2015,
-0.8,,,,3/2015,
-0.1,,,,4/2015,
-0.5,,,,4/2015,
-0.1,,,,4/2015,
-0.1,,,,4/2015,
-0.3,,,,4/2015,
0,,,,5/2015,
0,,,,5/2015,
1.3,,,,5/2015,
7.1,,,,5/2015,
7,,,,6/2015,
10.7,,,,6/2015,
10.7,,,,6/2015,
10.9,,,,6/2015,
11.4,,,,7/2015,
11.8,,,,7/2015,
12.8,,,,7/2015,
12.9,,,,7/2015,
14,,,,7/2015,
11.6,,,,8/2015,
12.5,,,,8/2015,
12.8,,,,8/2015,
11.3,,,,8/2015,
13.1,,,,9/2015,
14.1,,,,9/2015,
13.2,,,,9/2015,
12,,,,9/2015,
10.8,,,,9/2015,
9.6,,,,10/2015,
9.1,,,,10/2015,
7.6,,,,10/2015,
7,,,,10/2015,
6.8,,,,11/2015,
5.4,,,,11/2015,
5.9,,,,11/2015,
1.4,,,,12/2015,
0.7,,,,12/2015,
0,,,,12/2015,
-0.1,,,,12/2015,
-0.6,,,,12/2015,
-0.3,,,,1/2016,
-1.1,,,,1/2016,
-0.7,,,,1/2016,
-0.5,,,,1/2016,
-0.2,,,,2/2016,
0.2,,,,2/2016,
-0.8,,,,2/2016,
-0.7,,,,2/2016,
-0.5,,,,3/2016,
-0.2,,,,3/2016,
-0.6,,,,3/2016,
-0.3,,,,3/2016,
0,,,,3/2016,
0,,,,3/2016,
0.5,,,,4/2016,
0.7,,,,4/2016,
5.9,,,,4/2016,
6,,,,4/2016,
6.6,,,,5/2016,
8.9,,,,5/2016,
6.9,,,,5/2016,
9.4,,,,5/2016,
10.3,,,,6/2016,
10.7,,,,6/2016,
12.4,,,,6/2016,
14.6,,,,6/2016,
13.6,,,,6/2016,
13.5,,,,7/2016,
16.8,,,,7/2016,
16.3,,,,7/2016,
16.8,,,,7/2016,
17.3,,,,8/2016,
17.1,,,,8/2016,
16.6,,,,8/2016,
15.4,,,,8/2016,
15.7,,,,8/2016,
15.8,,,,9/2016,
13.6,,,,9/2016,
12.2,,,,9/2016,
11.4,,,,9/2016,
12.6,,,,10/2016,
9.8,,,,10/2016,
8.9,,,,10/2016,
7.2,,,,10/2016,
7.6,,,,11/2016,
7.3,,,,11/2016,
6.8,,,,11/2016,
3.4,,,,11/2016,
1.6,,,,11/2016,
0.9,,,,12/2016,
1,,,,12/2016,
0.6,,,,12/2016,
-0.3,,,,12/2016,
-1.4,,,,1/2017,
-0.9,,,,1/2017,
0.1,,,,1/2017,
-0.4,,,,1/2017,
-0.2,,,,2/2017,
0.8,,,,2/2017,
0,,,,2/2017,
-0.2,,,,3/2017,
-1,,,,3/2017,
-0.4,,,,3/2017,
-0.3,,,,3/2017,
-0.2,,,,3/2017,
4.6,,,,4/2017,
5.8,,,,4/2017,
4.5,,,,4/2017,
6.6,,,,5/2017,
9.7,,,,5/2017,
10.6,,,,5/2017,
8.7,,,,5/2017,
10.7,,,,5/2017,
13.4,,,,6/2017,
14.7,,,,6/2017,
14.4,,,,6/2017,
13.7,,,,6/2017,
16.4,,,,7/2017,
16.2,,,,7/2017,
16.4,,,,7/2017,
16.7,,,,7/2017,
17.8,,,,7/2017,
16,,,,8/2017,
16.1,,,,8/2017,
14.8,,,,8/2017,
15.1,,,,8/2017,
14,,,,9/2017,
13.9,,,,9/2017,
14.3,,,,9/2017,
14,,,,9/2017,
11.7,,,,10/2017,
8.6,,,,10/2017,
9,,,,10/2017,
9.4,,,,10/2017,
6.5,,,,11/2017,
2.9,,,,11/2017,
3.8,,,,11/2017,
1.8,,,,11/2017,
1.8,,,,11/2017,
1.5,,,,12/2017,
0.3,,,,12/2017,
-0.5,,,,12/2017,
-1.9,,,,12/2017,
-2.1,,,,1/2018,
-0.3,,,,1/2018,
-1.1,,,,1/2018,
-1,,,,1/2018,
-1.4,,,,1/2018,
-1.1,,,,2/2018,
-1.1,,,,2/2018,
-1.4,,,,2/2018,
-0.6,,,,3/2018,
-1.3,,,,3/2018,
-0.2,,,,3/2018,
-0.5,,,,3/2018,
-1,,,,3/2018,
-0.9,,,,4/2018,
-0.7,,,,4/2018,
0,,,,4/2018,
0.1,,,,4/2018,
0,,,,5/2018,
-0.4,,,,5/2018,
0.2,,,,5/2018,
4.7,,,,5/2018,
10.5,,,,6/2018,
13.5,,,,6/2018,
15.6,,,,6/2018,
15.6,,,,6/2018,
16.5,,,,7/2018,
19.1,,,,7/2018,
17.5,,,,7/2018,
17.5,,,,7/2018,
17.1,,,,8/2018,
16.6,,,,8/2018,
17.2,,,,8/2018,
16.5,,,,8/2018,
15.1,,,,8/2018,
15.6,,,,9/2018,
14.7,,,,9/2018,
12.7,,,,9/2018,
13,,,,9/2018,
6.4,,,,10/2018,
7.1,,,,10/2018,
6.4,,,,10/2018,
3.6,,,,11/2018,
2.6,,,,11/2018,
2.1,,,,11/2018,
1.8,,,,11/2018,
-5.7,,,,12/2018,
1.1,,,,12/2018,
-0.5,,,,12/2018,
0.3,,,,12/2018,
0.3,,,,1/2019,
0.4,,,,1/2019,
0.5,,,,1/2019,
-0.4,,,,1/2019,
-0.5,,,,2/2019,
-0.4,,,,2/2019,
-0.4,,,,2/2019,
0.1,,,,2/2019,
-0.2,,,,3/2019,
0,,,,3/2019,
0.1,,,,3/2019,
0.1,,,,3/2019,
0.5,,,,4/2019,
0,,,,4/2019,
0.1,,,,4/2019,
7.6,,,,4/2019,
4.9,,,,5/2019,
7.5,,,,5/2019,
10.5,,,,5/2019,
9.3,,,,5/2019,
11.2,,,,5/2019,
13.1,,,,6/2019,
12.8,,,,6/2019,
12.4,,,,6/2019,
13.6,,,,6/2019,
16.1,,,,7/2019,
16.6,,,,7/2019,
18,,,,7/2019,
16.6,,,,7/2019,
15.8,,,,7/2019,
17.1,,,,8/2019,
15.7,,,,8/2019,
15.3,,,,8/2019,
14.5,,,,8/2019,
13.5,,,,9/2019,
10.4,,,,9/2019,
14.4,,,,9/2019,
14,,,,9/2019,
11.7,,,,10/2019,
9.5,,,,10/2019,
8.9,,,,10/2019,
7.6,,,,10/2019,
3.4,,,,10/2019,
2,,,,11/2019,
2,,,,11/2019,
2,,,,11/2019,
1.2,,,,11/2019,
0.5,,,,11/2019,
0.5,,,,11/2019,
1.5,,,,12/2019,
0.6,,,,12/2019,
0.8,,,,12/2019,
0.6,,,,12/2019,
0.1,,,,1/2020,
0.5,,,,1/2020,
0.4,,,,1/2020,
-0.2,,,,1/2020,
0.5,,,,1/2020,
0,,,,2/2020,
0,,,,2/2020,
0.6,,,,2/2020,
0.1,,,,2/2020,
0,,,,3/2020,
0.3,,,,3/2020,
0.4,,,,3/2020,
0.5,,,,3/2020,
0.2,,,,3/2020,
6.3,,,,4/2020,
0.1,,,,4/2020,
2.9,,,,4/2020,
6.8,,,,4/2020,
6.8,,,,5/2020,
5.7,,,,5/2020,
8.6,,,,5/2020,
10.8,,,,5/2020,
11.6,,,,6/2020,
12.9,,,,6/2020,
12.6,,,,6/2020,
NA,,,,6/2020,
15.5,,,,6/2020,
17.8,,,,7/2020,
17.2,,,,7/2020,
16.5,,,,7/2020,
17.8,,,,7/2020,
15.4,,,,8/2020,
17.1,,,,8/2020,
NA,,,,8/2020,
15.7,,,,9/2020,
13.3,,,,9/2020,
12.1,,,,9/2020,
11.2,,,,10/2020,
9.9,,,,10/2020,
9.7,,,,10/2020,
NA,,,,10/2020,
3.8,,,,10/2020,
2.9,,,,11/2020,
3.1,,,,11/2020,
2,,,,11/2020,
1.8,,,,11/2020,
0.8,,,,12/2020,
1,,,,12/2020,
1.4,,,,12/2020,
0.4,,,,12/2020,
1.3,,,,12/2020,
0.7,,,,1/2021,
0.7,,,,1/2021,
-0.1,,,,1/2021,
0.3,,,,1/2021,
0.6,,,,2/2021,
-0.4,,,,2/2021,
-0.1,,,,2/2021,
0.3,,,,2/2021,
0.1,,,,3/2021,
0.1,,,,3/2021,
0,,,,3/2021,
0.1,,,,4/2021,
0.3,,,,4/2021,
0,,,,4/2021,
1.4,,,,4/2021,
9.2,,,,4/2021,
6.1,,,,5/2021,
5.5,,,,5/2021,
8.3,,,,5/2021,
11.1,,,,5/2021,
11.1,,,,6/2021,
13.5,,,,6/2021,
0.3,,,,11/1989,
-0.1,,,,11/1989,
0.2,,,,12/1989,
-0.4,,,,12/1989,
-0.6,,,,12/1989,
-0.3,,,,12/1989,
-0.1,,,,1/1990,
0.3,,,,1/1990,
0,,,,1/1990,
0,,,,1/1990,
0,,,,1/1990,
0,,,,2/1990,
-0.1,,,,2/1990,
-0.3,,,,2/1990,
-0.1,,,,2/1990,
-0.1,,,,3/1990,
-0.1,,,,3/1990,
0,,,,3/1990,
-0.2,,,,3/1990,
0.6,,,,4/1990,
0.6,,,,4/1990,
1,,,,4/1990,
7.1,,,,4/1990,
4,,,,5/1990,
6.3,,,,5/1990,
9.5,,,,5/1990,
9.6,,,,5/1990,
12.1,,,,5/1990,
12.5,,,,6/1990,
16.9,,,,6/1990,
15.3,,,,6/1990,
17.1,,,,6/1990,
19.6,,,,7/1990,
19,,,,7/1990,
25.7,,,,7/1990,
25.8,,,,7/1990,
26.9,,,,8/1990,
28.7,,,,8/1990,
28.9,,,,8/1990,
30.9,,,,8/1990,
31,,,,8/1990,
18.5,,,,9/1990,
22.7,,,,9/1990,
21.1,,,,9/1990,
24.2,,,,9/1990,
9.6,,,,10/1990,
17.9,,,,10/1990,
0.6,,,,10/1990,
5.8,,,,10/1990,
5.3,,,,10/1990,
3.2,,,,11/1990,
1.6,,,,11/1990,
4,,,,11/1990,
1.5,,,,11/1990,
0.6,,,,12/1990,
0.4,,,,12/1990,
0.6,,,,12/1990,
0.8,,,,12/1990,
0,,,,1/1991,
0,,,,1/1991,
0.2,,,,1/1991,
0,,,,1/1991,
-0.1,,,,1/1991,
-0.1,,,,2/1991,
0,,,,2/1991,
0,,,,2/1991,
-0.1,,,,2/1991,
0,,,,3/1991,
0,,,,3/1991,
0,,,,3/1991,
0.2,,,,3/1991,
0,,,,4/1991,
-0.2,,,,4/1991,
0,,,,4/1991,
0.3,,,,4/1991,
1.7,,,,5/1991,
4.1,,,,5/1991,
11.3,,,,5/1991,
14.2,,,,5/1991,
14.5,,,,5/1991,
14.7,,,,6/1991,
15.7,,,,6/1991,
15.7,,,,6/1991,
17.7,,,,6/1991,
17.7,,,,7/1991,
17,,,,7/1991,
19.6,,,,7/1991,
17.3,,,,7/1991,
17.2,,,,7/1991,
17.8,,,,8/1991,
19.8,,,,8/1991,
16.8,,,,8/1991,
20.2,,,,8/1991,
15,,,,9/1991,
16.5,,,,9/1991,
16.9,,,,9/1991,
11.3,,,,9/1991,
9.1,,,,10/1991,
7.5,,,,10/1991,
7.3,,,,10/1991,
6,,,,10/1991,
3.7,,,,10/1991,
3.3,,,,11/1991,
3.2,,,,11/1991,
3.7,,,,11/1991,
1.3,,,,11/1991,
1.2,,,,12/1991,
0.7,,,,12/1991,
0.8,,,,12/1991,
0.9,,,,1/1992,
0.8,,,,1/1992,
0.7,,,,1/1992,
0.7,,,,1/1992,
0.7,,,,1/1992,
0.4,,,,2/1992,
0.4,,,,2/1992,
0.5,,,,2/1992,
0.6,,,,2/1992,
0.5,,,,3/1992,
0.5,,,,3/1992,
0.3,,,,3/1992,
0.2,,,,3/1992,
0,,,,4/1992,
0.4,,,,4/1992,
1,,,,4/1992,
0.6,,,,4/1992,
5.7,,,,4/1992,
9.3,,,,5/1992,
10.5,,,,5/1992,
14.2,,,,5/1992,
10.4,,,,5/1992,
14.5,,,,6/1992,
17.3,,,,6/1992,
14.9,,,,6/1992,
14.3,,,,6/1992,
13.2,,,,7/1992,
16.4,,,,7/1992,
16.7,,,,7/1992,
15.9,,,,7/1992,
15.2,,,,7/1992,
15.8,,,,8/1992,
16.4,,,,8/1992,
15.9,,,,8/1992,
14.6,,,,8/1992,
13.7,,,,9/1992,
13.6,,,,9/1992,
13.9,,,,9/1992,
11.5,,,,9/1992,
9.8,,,,9/1992,
10.3,,,,10/1992,
7,,,,10/1992,
5,,,,10/1992,
5.1,,,,10/1992,
3.7,,,,11/1992,
3.3,,,,11/1992,
2.4,,,,11/1992,
2.4,,,,11/1992,
1.6,,,,12/1992,
1.2,,,,12/1992,
0.8,,,,12/1992,
0.7,,,,12/1992,
0.6,,,,12/1992,
0.5,,,,1/1993,
0.3,,,,1/1993,
0.3,,,,1/1993,
0.2,,,,1/1993,
0.2,,,,2/1993,
0.2,,,,2/1993,
0.1,,,,2/1993,
0.1,,,,2/1993,
0.1,,,,3/1993,
0.2,,,,3/1993,
0.2,,,,3/1993,
0.2,,,,3/1993,
0.3,,,,3/1993,
0.5,,,,4/1993,
0.6,,,,4/1993,
3.3,,,,4/1993,
4.9,,,,4/1993,
7.2,,,,5/1993,
10.6,,,,5/1993,
9.2,,,,5/1993,
10.2,,,,5/1993,
10.8,,,,6/1993,
12.9,,,,6/1993,
13,,,,6/1993,
15.8,,,,6/1993,
13.9,,,,6/1993,
15.2,,,,7/1993,
15.5,,,,7/1993,
16.1,,,,7/1993,
17.8,,,,7/1993,
16.4,,,,8/1993,
17.9,,,,8/1993,
17.5,,,,8/1993,
17.4,,,,8/1993,
15.7,,,,9/1993,
13.4,,,,9/1993,
12.3,,,,9/1993,
12.3,,,,9/1993,
10.4,,,,9/1993,
8.5,,,,10/1993,
6.4,,,,10/1993,
6,,,,10/1993,
6.1,,,,10/1993,
4.2,,,,11/1993,
3.9,,,,11/1993,
3.2,,,,11/1993,
2.4,,,,11/1993,
2.4,,,,12/1993,
2.5,,,,12/1993,
2.4,,,,12/1993,
2.2,,,,12/1993,
1.2,,,,12/1993,
NA,,,,1/1994,
0.2,,,,1/1994,
0.6,,,,1/1994,
0.7,,,,1/1994,
0,,,,2/1994,
-0.1,,,,2/1994,
0.4,,,,2/1994,
0,,,,2/1994,
0.3,,,,3/1994,
0.8,,,,3/1994,
0.1,,,,3/1994,
0.4,,,,3/1994,
0.7,,,,3/1994,
0.8,,,,4/1994,
1.3,,,,4/1994,
2.9,,,,4/1994,
3.3,,,,4/1994,
5.6,,,,5/1994,
7.7,,,,5/1994,
9.8,,,,5/1994,
13.1,,,,5/1994,
12.4,,,,6/1994,
13.7,,,,6/1994,
15.4,,,,6/1994,
17.7,,,,6/1994,
17.9,,,,6/1994,
18.7,,,,7/1994,
17.2,,,,7/1994,
17.9,,,,7/1994,
16.8,,,,7/1994,
18.5,,,,8/1994,
16.5,,,,8/1994,
16.6,,,,8/1994,
16.3,,,,8/1994,
14.3,,,,9/1994,
14.4,,,,9/1994,
15.9,,,,9/1994,
15,,,,9/1994,
12,,,,9/1994,
10.7,,,,10/1994,
10,,,,10/1994,
11.3,,,,10/1994,
7.9,,,,10/1994,
6.4,,,,11/1994,
4.5,,,,11/1994,
3.3,,,,11/1994,
2.2,,,,12/1994,
1.7,,,,12/1994,
1.9,,,,12/1994,
1.6,,,,12/1994,
1.1,,,,12/1994,
0.9,,,,1/1995,
0.6,,,,1/1995,
0.8,,,,1/1995,
0.8,,,,1/1995,
0,,,,2/1995,
0.7,,,,2/1995,
-0.4,,,,2/1995,
0,,,,2/1995,
-0.1,,,,3/1995,
0.5,,,,3/1995,
0.5,,,,3/1995,
-0.1,,,,3/1995,
0.6,,,,3/1995,
0.7,,,,4/1995,
0.8,,,,4/1995,
1.8,,,,4/1995,
4.1,,,,4/1995,
6.6,,,,5/1995,
6.7,,,,5/1995,
8.5,,,,5/1995,
8.9,,,,5/1995,
10.8,,,,6/1995,
15.4,,,,7/1995,
15.5,,,,7/1995,
16.4,,,,7/1995,
16.3,,,,7/1995,
16.5,,,,8/1995,
17,,,,8/1995,
16.2,,,,8/1995,
17.2,,,,8/1995,
16.1,,,,8/1995,
16,,,,9/1995,
14.4,,,,9/1995,
12.8,,,,9/1995,
10.9,,,,9/1995,
10.9,,,,10/1995,
9.6,,,,10/1995,
8.7,,,,10/1995,
6.3,,,,10/1995,
5.4,,,,11/1995,
4.1,,,,11/1995,
3.5,,,,11/1995,
2.2,,,,11/1995,
1.6,,,,11/1995,
1.6,,,,12/1995,
1.1,,,,12/1995,
1.1,,,,12/1995,
0.7,,,,12/1995,
0.8,,,,1/1996,
0.7,,,,1/1996,
0.5,,,,1/1996,
0.3,,,,1/1996,
0.8,,,,2/1996,
0.5,,,,2/1996,
0.9,,,,2/1996,
0.9,,,,2/1996,
0.5,,,,3/1996,
0.5,,,,3/1996,
0.6,,,,3/1996,
0.7,,,,3/1996,
0,,,,4/1996,
0.7,,,,4/1996,
0.5,,,,4/1996,
2,,,,4/1996,
5.3,,,,5/1996,
7.5,,,,5/1996,
7.4,,,,5/1996,
10.4,,,,5/1996,
10.6,,,,5/1996,
11.7,,,,6/1996,
14.2,,,,6/1996,
15.1,,,,6/1996,
13.9,,,,6/1996,
15.8,,,,7/1996,
15.6,,,,7/1996,
16.1,,,,7/1996,
16.6,,,,7/1996,
15.5,,,,7/1996,
17,,,,8/1996,
17.1,,,,8/1996,
16.5,,,,8/1996,
16.1,,,,8/1996,
15.9,,,,9/1996,
15.7,,,,9/1996,
13.7,,,,9/1996,
12.4,,,,9/1996,
11.6,,,,10/1996,
10.5,,,,10/1996,
9.5,,,,10/1996,
8.1,,,,10/1996,
7,,,,10/1996,
5,,,,11/1996,
4.5,,,,11/1996,
3,,,,11/1996,
2.7,,,,11/1996,
2,,,,12/1996,
1.8,,,,12/1996,
1.7,,,,12/1996,
1.1,,,,12/1996,
1.5,,,,1/1997,
1.1,,,,1/1997,
0.9,,,,1/1997,
0.8,,,,1/1997,
0.6,,,,1/1997,
0.7,,,,2/1997,
1.1,,,,2/1997,
0.8,,,,2/1997,
0.8,,,,3/1997,
0.6,,,,3/1997,
0.6,,,,3/1997,
0.8,,,,3/1997,
0.7,,,,4/1997,
1,,,,4/1997,
1.6,,,,4/1997,
5.9,,,,4/1997,
7.1,,,,4/1997,
7.4,,,,5/1997,
6.9,,,,5/1997,
7.9,,,,5/1997,
9.4,,,,5/1997,
12.3,,,,6/1997,
14.1,,,,6/1997,
14.3,,,,6/1997,
15.4,,,,6/1997,
16.6,,,,7/1997,
14,,,,7/1997,
16.2,,,,7/1997,
16.1,,,,7/1997,
16.9,,,,7/1997,
16.8,,,,8/1997,
15.8,,,,8/1997,
15.1,,,,8/1997,
15,,,,8/1997,
14.5,,,,9/1997,
15,,,,9/1997,
12.5,,,,9/1997,
12.9,,,,9/1997,
11.6,,,,10/1997,
10.9,,,,10/1997,
8.6,,,,10/1997,
6.8,,,,10/1997,
5.2,,,,11/1997,
3.9,,,,11/1997,
3.3,,,,11/1997,
2.9,,,,12/1997,
2.5,,,,12/1997,
2.2,,,,12/1997,
2.4,,,,12/1997,
1,,,,12/1997,
1.5,,,,1/1998,
1.3,,,,1/1998,
1.2,,,,1/1998,
1.2,,,,1/1998,
1,,,,2/1998,
1,,,,2/1998,
0.9,,,,2/1998,
0.9,,,,2/1998,
0.5,,,,3/1998,
0.5,,,,3/1998,
0.7,,,,3/1998,
0.6,,,,3/1998,
0.5,,,,4/1998,
0.8,,,,4/1998,
1,,,,4/1998,
2.7,,,,4/1998,
4.6,,,,4/1998,
6.7,,,,5/1998,
7.9,,,,5/1998,
10.6,,,,5/1998,
11.1,,,,5/1998,
11.4,,,,6/1998,
10.9,,,,6/1998,
12.2,,,,6/1998,
13.4,,,,6/1998,
14.6,,,,7/1998,
14.9,,,,7/1998,
16.1,,,,7/1998,
16.2,,,,7/1998,
15.5,,,,7/1998,
15.4,,,,8/1998,
16.1,,,,8/1998,
15.3,,,,8/1998,
15.3,,,,8/1998,
14.4,,,,9/1998,
13.8,,,,9/1998,
14,,,,9/1998,
13.1,,,,9/1998,
12.2,,,,10/1998,
10.7,,,,10/1998,
10.2,,,,10/1998,
9.6,,,,10/1998,
8.7,,,,10/1998,
7.3,,,,11/1998,
5.7,,,,11/1998,
5.4,,,,11/1998,
4.1,,,,11/1998,
3.9,,,,12/1998,
3.1,,,,12/1998,
2.7,,,,12/1998,
1.2,,,,12/1998,
0.8,,,,12/1998,
0.4,,,,1/1999,
0.6,,,,1/1999,
0.1,,,,1/1999,
0.9,,,,1/1999,
0.8,,,,2/1999,
0.7,,,,2/1999,
0.7,,,,2/1999,
0.6,,,,2/1999,
0.5,,,,3/1999,
0.8,,,,3/1999,
0.4,,,,3/1999,
0.6,,,,3/1999,
0.5,,,,4/1999,
1,,,,4/1999,
1.9,,,,4/1999,
3.8,,,,4/1999,
6.1,,,,4/1999,
7.9,,,,5/1999,
7.7,,,,5/1999,
9.4,,,,5/1999,
9.4,,,,5/1999,
11.1,,,,6/1999,
12.4,,,,6/1999,
13.4,,,,6/1999,
13.1,,,,6/1999,
13.7,,,,6/1999,
15.3,,,,7/1999,
15.2,,,,7/1999,
16.3,,,,7/1999,
16.8,,,,7/1999,
16.6,,,,8/1999,
16.5,,,,8/1999,
15.9,,,,9/1999,
15.7,,,,9/1999,
12.9,,,,9/1999,
11.9,,,,9/1999,
9,,,,10/1999,
8.5,,,,10/1999,
7.3,,,,10/1999,
6.9,,,,11/1999,
5.9,,,,11/1999,
5.5,,,,11/1999,
3.6,,,,12/1999,
3,,,,12/1999,
1.9,,,,12/1999,
1.4,,,,12/1999,
1.8,,,,12/1999,
1.3,,,,1/2000,
1.2,,,,1/2000,
1.1,,,,1/2000,
1,,,,1/2000,
0.8,,,,2/2000,
0.6,,,,2/2000,
0.3,,,,2/2000,
0.8,,,,2/2000,
0.7,,,,3/2000,
0.7,,,,3/2000,
0.6,,,,3/2000,
0.8,,,,3/2000,
1,,,,3/2000,
0.5,,,,4/2000,
0.7,,,,4/2000,
1.3,,,,4/2000,
0.8,,,,4/2000,
2.2,,,,5/2000,
5.1,,,,5/2000,
5.9,,,,5/2000,
7.5,,,,5/2000,
7.7,,,,5/2000,
8.1,,,,6/2000,
9.7,,,,6/2000,
10.1,,,,6/2000,
11.5,,,,6/2000,
12.6,,,,7/2000,
13.2,,,,7/2000,
14,,,,7/2000,
13.4,,,,7/2000,
13.9,,,,8/2000,
14.4,,,,8/2000,
14.1,,,,8/2000,
13.8,,,,8/2000,
13.7,,,,8/2000,
13.2,,,,9/2000,
12.3,,,,9/2000,
11.7,,,,9/2000,
10.4,,,,9/2000,
10,,,,10/2000,
8.2,,,,10/2000,
8.4,,,,11/2000,
4.7,,,,11/2000,
4.1,,,,12/2000,
3,,,,12/2000,
2.2,,,,12/2000,
1.7,,,,12/2000,
2,,,,1/2001,
1.9,,,,1/2001,
1.7,,,,1/2001,
1.8,,,,1/2001,
1.1,,,,1/2001,
